Compound	C_Label	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	blank	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
succinate	2	0	0.0004836233755	0.0008551774464	0.005698975605	0.0002242997892	0.001643682256	0.00016228565	0.001843719628	0	0	0.00006094786592	0.0008843194962	0.0004849975431	0.01505590234	0.001018812108	0.007770099552	0	0.0003214458388	0.0006902738711	0.007011898628	0	0.001513446987	0.0003709899426	0	0.000007221417615	0.001602928589	0	0.003113528711	0.0003239831969	0.0002569282786	0	0.001424014845	0.001506528267	0.0008832371481	0.001986844026	0.000693188487	0.0009555666904	0	0	0.0004160405913	0.0004608546488	0.003618269693	0.003164585366	0.006141939119	0.006163267655	0.000153587282	0.0003116150772	0.002790591979	0.002482107432	0.0005377103246	0.00005390610076	0.002931357262	0.003361016692	0.00116330521	0.001131436979	0.002389917444	0.002535049037
succinate	3	0	0.0002123976682	0.00006771231423	0.0003252695305	0	0.000535021931	0.00004859122787	0.0001045480629	0	0	0	0.0001059014885	0.00007971544091	0.0003293543303	0.001077285774	0.007103049593	0	0.0001381888768	0	0.0007288974468	0	0.0001398164208	0	0	0.0000520740557	0.0002198910386	0	0.00007847707078	0.00007258825744	0.00009354729326	0	0.0001582115858	0.0002200972571	0.000083561408	0.0002060163715	0.00004547670264	0.000003635861535	0	0	0.00004906983327	0	0.0002541741489	0.00024954594	0.001447649259	0.001939010326	0.0001138255338	0.0001321267315	0.0003956932682	0.0001758493885	0.00006248467787	0.00002661688512	0.0002788630958	0.00007637929527	0.00008311079988	0.000005028859393	0.00005507102628	0.00007884131249
succinate	4	0	0.00004470493209	0	0	0	0	0	0	0	0	0	0	0	0	0.0003669576069	0.002783440176	0	0	0	0.000185445253	0	0	0	0	0	0	0	0	0	0	0	0.00006542000107	0	0.000034199254	0	0	0	0	0	0	0	0	0.00003585313628	0.0007298935107	0.0008553233845	0	0	0.0001098214571	0	0	0	0	0.00004416800055	0	0	0	0.00006898752803
malate	0	0.9983166319	0.9909848451	0.9966103838	0.9724947389	0.996536169	0.9891631736	0.9965728616	0.9894912517	0.9979754846	0.9971798401	0.9963384279	0.9935808291	0.9944759833	0.9529542702	0.9918638312	0.9767310262	0.9995981211	0.9873164572	0.9950586711	0.9800306183	0.9953595371	0.9916975706	0.9967440668	0.9990845629	0.9960114256	0.9900831543	0.9972990277	0.9863513685	0.9975011694	0.9998110929	1	0.9846941003	0.984502923	0.9904128145	0.9878648194	0.9969467878	0.9943415716	0.9943757132	0.9979749158	0.9935251627	0.9943131839	0.9863178583	0.9860804401	0.9814929661	0.9838314615	0.9965241733	0.9914044359	0.9867764648	0.9890650605	0.9927760292	0.9978846663	0.9867339149	0.9872547837	0.9926503951	0.9934215464	0.9899902672	0.9895823164
malate	1	0.001526960186	0.007406922559	0.002660672707	0.02195995581	0.003146688334	0.00869167583	0.003011683936	0.007880195899	0.001580642639	0	0.003632970822	0.00537524328	0.005170099792	0.03502588375	0.006048011137	0.01116508686	0	0.01009566453	0.003974730451	0.01336886136	0.004247182589	0.005522627363	0.002719784584	0	0.003643141455	0.008208332954	0.002129612424	0.009695651208	0.001343253795	0	0	0.01324609536	0.01356611906	0.008299624838	0.009808721516	0.001910151106	0.004492937575	0.003629882945	0	0.006078624819	0.005288192839	0.01092601753	0.01091321828	0.01464275632	0.01187092883	0.00175222873	0.007477072098	0.01018111002	0.007942375775	0.006142672578	0.001544185682	0.00992543989	0.009830050739	0.006431325998	0.005636340457	0.00714022704	0.007686618404
malate	2	0.0001564078975	0.00133319395	0.0007289435176	0.005087429146	0.0003000823226	0.001787963072	0.0003786525253	0.00251964178	0.000443872793	0.001199124223	0.00002860125962	0.0009749736285	0.0002461484255	0.0117232862	0.001052177594	0.005824379929	0.0004018789362	0.002120311918	0.0007765611185	0.005777409318	0.0003932803	0.00272070831	0.0004798485304	0.0009154370867	0.0003454329628	0.001551053388	0.0005713598826	0.003851606819	0.0008600173544	0.0001889071485	0	0.001670579558	0.001642178496	0.001139210549	0.002323020898	0.001143061074	0.001165490809	0.00192012357	0.002025084159	0.0003233568855	0.0003773442	0.002363290801	0.002700418016	0.002735856196	0.002763527748	0.001528672928	0.0008881247522	0.002526721464	0.002560967791	0.00103752072	0.00057114804	0.003056153463	0.002697496192	0.0008504105078	0.0009421131091	0.002719262356	0.002614694772
malate	3	0	0.000275038397	0	0.0004578761727	0.00001706038482	0.0003571875097	0.00003680189304	0.00002570160932	0	0.001621035707	0	0.00006895396987	0.0001077684948	0.0002965598897	0.0007579289238	0.004777223325	0	0.0004675663191	0.0001900373609	0.0006577062579	0	0.00005909375493	0	0	0	0.0001574593273	0	0.0001013734703	0.0002955594626	0	0	0.0003892248161	0.000288779404	0.0001483501137	0.000003438183737	0	0	0.00007428026495	0	0.00007285562962	0.00002127905681	0.0002726296923	0.0003059236357	0.0007355660878	0.001090452694	0.0001949250394	0.0002303672486	0.0005157037555	0.0004315959755	0.00004377748748	0	0.000284491795	0.0002176694041	0.00006786836246	0	0.0001502433768	0.0001163704514
malate	4	0	0	0	0	0	0	0	0.00008320903731	0	0	0	0	0	0	0.000278051128	0.001502283718	0	0	0	0.0001654047701	0	0	0.00005630009026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001202036964	0	0.0003928552744	0.0004436292135	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	0	1	1	0.9993134478	0.9914442335	0.999729432	0.9964716595	0.9998285199	0.996814028	0.9991966536	0.9977074049	1	0.9983261165	1	0.9745701658	1	0.996106898	0.9994016493	0.9936835707	0.9992181923	0.992276848	0.999506432	1	0.9993092092	0.9981255991	0.9999342422	0.9985459332	0.9991434377	0.9958658	1	1	1	0.9979104328	0.99765553	0.9990532437	0.9985762566	0.9993975748	1	0.9985299221	1	1	1	0.9984270279	0.9986917407	0.9980227631	1	0.9984322249	0.9980607903	0.9973184882	0.9966043535	0.9998151858	1	0.9958873733	0.9956568662	1	1	0.9969378112	0.9978982769
a-ketoglutarate	1	0	0	0	0.002089354079	0	0.0009164441575	0	0	0	0	0	0	0	0.007849186624	0	0	0	0.002851867483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	2	0	0	0	0.006466412402	0.0002705680493	0.002256093418	0.0001714800711	0.003185971973	0.0008033463796	0.002292595111	0	0.001673883535	0	0.01758064757	0	0.003893102037	0.0005983506862	0.003193899308	0.0007818076786	0.006835921647	0	0	0.0006907907641	0.001874400854	0.00006575780848	0.001454066795	0.000856562261	0.004134199973	0	0	0	0.002089567214	0.002344469986	0.0009467562701	0.001423743383	0.0006024251856	0	0.00147007794	0	0	0	0.001572972128	0.001308259282	0.0004912734455	0	0.001418242554	0.001882307595	0.002681511797	0.003037747438	0.0001848142158	0	0.003871481295	0.004343133833	0	0	0.003062188827	0.001877371825
a-ketoglutarate	3	0	0	0	0	0	0.00026237403	0	0	0	0	0	0	0	0	0	0	0	0.0002706624639	0	0.0008872303637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00005690215204	0	0.0003578990493	0	0	0.0002411454448	0	0	0	0	0.0002243512897
a-ketoglutarate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	5	0	0	0.0006865521706	0	0	0.00009342884811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004935679882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001485963477	0	0.0001495325084	0	0	0	0	0	0	0	0	0	0	0
