Compound	C_Label	bat-xz969	bat-xz970	bkbk1123	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
citrate/isocitrate	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007979821619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003538986084	0.00008221557191	0.0001578121684	0	0	0.00007481412692	0.0002374676941	0	0.00007771516244	0.0002571637008	0.00007743881624	0	0.00007050268867
succinate	0	0.9825710928	0.9327477555	1	0.9761007393	0.9749156545	1	0.9409473731	1	0.9567261755	1	1	0.9323882132	0.9948158774	1	0.9861075677	0.9768786092	0.9743599694	0.9561130368	0.9525972717	0.978572525	0.9671870492	1	0.9560221232	1	1	1	0.9879514137	0.936311661	0.9682789901	0.9558545707	0.9672248014	0.9820631786	0.9511901548	0.9568386483	0.9922498437	0.9202797323	0.9536807581	0.9696256171	0.9515396682	0.9753555122	0.9625930576	0.9632372043	0.9437916225	0.9518675747
succinate	1	0.01742890722	0.0443425284	0	0.02246973496	0.02331877781	0	0.04121572733	0	0.02869585134	0	0	0.04548940472	0.005184122576	0	0.01022903586	0.0163980177	0.01771367893	0.03455270147	0.03443039179	0.01981447738	0.02413451131	0	0.02941113764	0	0	0	0.01204858633	0.04239716519	0.02672835049	0.03131560674	0.02749052482	0.01693228802	0.03469807444	0.02993733428	0.007750156341	0.05168560698	0.03164884205	0.01760248169	0.03242783115	0.01756442619	0.02576437195	0.02259808541	0.03933377685	0.02990422549
succinate	2	0	0.02227271564	0	0.001419274444	0.001765567728	0	0.01748486432	0	0.01428834453	0	0	0.02154111959	0	0	0.003318880403	0.006685050571	0.00785132852	0.009229127267	0.01268695942	0.001612997603	0.008630436192	0	0.0143686622	0	0	0	0	0.02091677889	0.004270072874	0.01240535987	0.00515309104	0.001004533373	0.01381734431	0.01310293133	0	0.02670531252	0.01450783864	0.01248294342	0.01521701278	0.006872948318	0.01149030815	0.01388577338	0.01657447466	0.01776547885
succinate	3	0	0.0006370004294	0	0.00001025126567	0	0	0.0003520352873	0	0.0002896286354	0	0	0.0005812624457	0	0	0.000344516026	0.0000383225428	0.00007502312295	0.0001051344146	0.0002853770769	0	0.00004800328386	0	0.0001980769544	0	0	0	0	0.0003743949153	0.000722586559	0.0004244627175	0.0001315827729	0	0.000294426469	0.0001210861209	0	0.001316268047	0.0001625612163	0.0002889578353	0.0008154878883	0.0002071133006	0.000152262333	0.0002789368775	0.000300125968	0.0004627209821
succinate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001308019937	0	0	0	0	0	0	0	0
malate	0	0.9919058236	0.9472281875	0.9973480556	0.9801766402	0.9770726395	0.958781673	0.9402254536	1	0.9561487523	0.9758985654	0.9889788984	0.9354413364	0.9962308123	0.9942268192	0.984270696	0.9729276507	0.9675226514	0.9458730148	0.9442469561	0.9726170499	0.9677435403	1	0.9547873049	1	0.9820749633	0.9801052129	0.9799335519	0.935709381	0.951200129	0.9467774026	0.9648709888	0.9799127145	0.9487792907	0.9573556394	0.9685556957	0.9152496311	0.9549059662	0.9669278658	0.9496520953	0.9695355938	0.9640073853	0.9535487548	0.9408120749	0.9440002002
malate	1	0.008094176369	0.03763624774	0.0009697985684	0.01720004226	0.02079653183	0.04121832701	0.04242697545	0	0.02927236282	0.00834924417	0.01102110164	0.04338211576	0	0.005773180783	0.01213927622	0.02274399135	0.02721537675	0.03583055536	0.03742107033	0.0180210434	0.02437215196	0	0.03083631938	0	0.01792503669	0	0.02006644806	0.04321191706	0.03097229594	0.03242900246	0.02944988778	0.01785618313	0.03609487971	0.02917034443	0.02270594873	0.05732070775	0.03164478512	0.02813463795	0.0306887289	0.02235736143	0.02552891506	0.02891086026	0.04092221044	0.03188690158
malate	2	0	0.01478040655	0.001682145785	0.002623317576	0.002130828642	0	0.01677277358	0	0.01457888492	0.01575219045	0	0.020480473	0.003769187731	0	0.003120852031	0.004328357954	0.005261971876	0.01777756192	0.01801795876	0.009361906693	0.007687892362	0	0.01421087345	0	0	0	0	0.0204526022	0.01716427195	0.02050673033	0.005536488999	0.002231102399	0.01484736895	0.01321150747	0.008294284666	0.02656790543	0.01319011183	0.004935545135	0.01915135905	0.008007856116	0.01046369959	0.017140229	0.01773993533	0.02326817019
malate	3	0	0.000355158241	0	0	0	0	0.0004989544898	0	0	0	0	0.0006960748171	0	0	0.0004053455575	0	0	0.0005188678746	0.0003140147834	0	0.0001964153883	0	0.0001655022658	0	0	0.01989478709	0	0.0006260997583	0.0006633031104	0.0002868646216	0.0001426344383	0	0.0002784606557	0.0002625087049	0.0004440708641	0.0008617557602	0.0002591368559	0.000001951085699	0.0005078167158	0.00009918861315	0	0.0004001559535	0.0005257792858	0.0008447280064
malate	4	0	0	0	0	0	0	0.00007584288865	0	0	0	0	0	0	0	0.00006383019536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	0	1	0.9646760307	1	0.9936261629	0.9862958528	1	0.9693120993	0.5628489618	0.9829395565	0.5376931662	1	0.95524404	1	1	0.9936956005	0.9795963565	0.9890952578	0.9488234898	0.95760844	0.9873047881	0.9783913023	1	0.9818034381	0.9658596771	1	1	1	0.9548531116	0.9687468315	0.9423330233	0.9921730375	0.9833319842	0.9578671304	0.9795557959	0.9876201412	0.9275923078	0.9784315848	0.9845901542	0.959485949	0.9870229154	0.9844748934	0.9572567807	0.9639354992	0.9471761754
a-ketoglutarate	1	0	0.01327361751	0	0.00362994427	0.009735369273	0	0.01331895143	0	0.006243331292	0	0	0.0186295815	0	0	0	0.001730086564	0.007042990887	0.02475273986	0.01679369704	0.003973985645	0.008184027925	0	0.003391491484	0	0	0	0	0.02615260933	0.006516348264	0.02840521959	0.007826962506	0.01316531775	0.02263723756	0.005657456728	0.0002955475519	0.03903027188	0	0.001890011689	0.01455134897	0.00200319294	0.002527268976	0.02050897103	0.01792817534	0.02442428614
a-ketoglutarate	2	0	0.0220503518	0	0.002743892838	0.003968777899	0	0.01646986525	0.4371510382	0.01081711223	0.4623068338	0	0.0261263785	0	0	0.006304399459	0.01867355691	0.003861751286	0.02534636279	0.02473765403	0.008721226245	0.01342466976	0	0.0147541055	0	0	0	0	0.01827811458	0.02444973687	0.02872235654	0	0.003502698071	0.01946513287	0.01396597728	0.01208431127	0.03120957208	0.02156841525	0.01334810294	0.02492545991	0.01097389166	0.0129978376	0.02186239484	0.01813632548	0.02787517145
a-ketoglutarate	3	0	0	0	0	0	0	0.0008990840029	0	0	0	0	0	0	0	0	0	0	0.001077407562	0.000860208884	0	0	0	0.00005096494753	0	0	0	0	0.0003909033031	0.0002870834018	0.0002959571664	0	0	0.00003049919543	0.0008207700508	0	0.001799830878	0	0.0001717311802	0.001037242104	0	0	0.0003718533864	0	0.0004158784102
a-ketoglutarate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003252611586	0	0.0002434434145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001084886531
a-ketoglutarate	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03414032288	0	0	0	0	0	0	0	0	0	0	0	0.0003680173294	0	0	0	0	0	0	0	0
