Sample Name	Date Collected	Researcher Name	Tissue	Collection Time	Animal ID
H-xz979	2020-12-02	Xianfeng Zhang	Heart	150	979
Kd-xz979	2020-12-02	Xianfeng Zhang	Kidney	150	979
Liv-xz979	2020-12-02	Xianfeng Zhang	Liver	150	979
Lu-xz979	2020-12-02	Xianfeng Zhang	Lung	150	979
Pc-xz979	2020-12-02	Xianfeng Zhang	Pancreas	150	979
Q-xz979	2020-12-02	Xianfeng Zhang	Quad	150	979
SI-xz979	2020-12-02	Xianfeng Zhang	Small Intestine	150	979
Sol-xz979	2020-12-02	Xianfeng Zhang	Soleus	150	979
Sp-xz979	2020-12-02	Xianfeng Zhang	Spleen	150	979
BAT-xz981	2020-12-04	Xianfeng Zhang	BAT	150	981
Br-xz981	2020-12-04	Xianfeng Zhang	Brain	150	981
Dia-xz981	2020-12-04	Xianfeng Zhang	Diaphragm	150	981
gas-xz981	2020-12-04	Xianfeng Zhang	Gastrocnemius	150	981
gwat-xz981	2020-12-04	Xianfeng Zhang	gWAT	150	981
H-xz981	2020-12-04	Xianfeng Zhang	Heart	150	981
Kd-xz981	2020-12-04	Xianfeng Zhang	Kidney	150	981
Liv-xz981	2020-12-04	Xianfeng Zhang	Liver	150	981
Lu-xz981	2020-12-04	Xianfeng Zhang	Lung	150	981
Pc-xz981	2020-12-04	Xianfeng Zhang	Pancreas	150	981
Q-xz981	2020-12-04	Xianfeng Zhang	Quad	150	981
SI-xz981	2020-12-04	Xianfeng Zhang	Small Intestine	150	981
sol-xz981	2020-12-04	Xianfeng Zhang	Soleus	150	981
Sp-xz981	2020-12-04	Xianfeng Zhang	Spleen	150	981
BAT-xz982	2020-12-04	Xianfeng Zhang	BAT	150	982
Br-xz982	2020-12-04	Xianfeng Zhang	Brain	150	982
Dia-xz982	2020-12-04	Xianfeng Zhang	Diaphragm	150	982
Gas-xz982	2020-12-04	Xianfeng Zhang	Gastrocnemius	150	982
gwat-xz982	2020-12-04	Xianfeng Zhang	gWAT	150	982
H-xz982	2020-12-04	Xianfeng Zhang	Heart	150	982
Kd-xz982	2020-12-04	Xianfeng Zhang	Kidney	150	982
Liv-xz982	2020-12-04	Xianfeng Zhang	Liver	150	982
Lu-xz982	2020-12-04	Xianfeng Zhang	Lung	150	982
Pc-xz982	2020-12-04	Xianfeng Zhang	Pancreas	150	982
Q-xz982	2020-12-04	Xianfeng Zhang	Quad	150	982
SI-xz982	2020-12-04	Xianfeng Zhang	Small Intestine	150	982
sol-xz982	2020-12-04	Xianfeng Zhang	Soleus	150	982
Sp-xz982	2020-12-04	Xianfeng Zhang	Spleen	150	982
serum-xz971	11/19/20	Xianfeng Zhang	Serum	150	971
serum-xz972	11/19/20	Xianfeng Zhang	Serum	150	972
serum-xz981	12/04/20	Xianfeng Zhang	Serum	150	981
serum-xz982	12/04/20	Xianfeng Zhang	Serum	150	982
serum-xz969	11/18/20	Xianfeng Zhang	Serum	150	969
serum-xz970	11/19/20	Xianfeng Zhang	Serum	150	970
serum-xz979	12/02/20	Xianfeng Zhang	Serum	150	979
