Compound	C_Label	bat-xz969	bat-xz970	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
citrate/isocitrate	3	0	0	0	0	0	11819.3861356765	0	1042.72926905703	0	0	12887.0846454753	0	0	538.631479316778	0	0	7127.84972996225	4557.4407180948	483.038699316779	16114.6266698375	0	0	0	0	0	0	18096.6929814434	0	47231.0345342384	0	0	30927.2285736898	9760.45476940871	0	47909.7655373121	66710.608705909	10165.1661677617	1193.81889629429	7460.58764144187	8506.46520943684	22417.0589688023	8203.42297591917	53639.9357920725
citrate/isocitrate	4	0	0	0	0	0	3458.93965757778	0	0	0	0	4661.99925690918	0	0	0	0	0	687.735620219906	1518.48166169986	0	5474.73146538879	0	0	0	0	0	0	0	0	6146.45263088667	719.963486562733	0	2746.35897643892	0	0	10439.4424016759	19232.6922808278	0	1958.81122574633	0	0	6603.48861263945	0	31860.7282049472
citrate/isocitrate	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
citrate/isocitrate	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347.21713405109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6847.54254307952	3357.02336166553	2570.83678286411	0	0	6961.78111016464	9907.26563317491	0	3390.32815960972	3642.14405047352	2463.53410789951	0	4089.95019661531
succinate	0	3460607.76514516	95107159.5448829	45772415.0663124	52205394.0888169	391578.836396395	74021901.8745378	245345.920869907	40179840.5533319	194983.36145783	183083.319291674	177137524.117932	540555.869582087	763328.299589618	77949506.1702749	16031882.4325931	19828628.5106881	8453433.29455817	7690443.45985828	5985238.050297	27315247.6953133	623017.16686253	70867833.8068472	317715.315347637	451600.658848689	787028.899070004	691316.198788933	64214608.3193245	5847029.76182743	10461194.2164912	17401008.4798902	41767106.7803268	75081871.7806436	25626184.1694827	1315810.18814109	137060518.942359	61691485.5436169	27528036.6440508	4470131.098499	9655503.85460213	33853409.2870504	29424956.1955516	22987349.2677756	6764499.08270094
succinate	1	61384.4760169323	4521363.78565062	1053676.11515639	1248688.51932783	0	3242334.91848402	0	1205146.00816772	0	0	8642194.75369456	2816.91109976512	0	808581.456875936	269113.367207178	360480.69520713	305496.260125899	277961.095645611	121191.185078442	681605.647093066	0	2180183.45344732	0	0	0	8430.9641047571	2907704.20785509	161401.272150321	342728.542790713	494572.569645222	720129.516296131	2738880.71978459	801785.80064611	10277.3860211256	7697720.44995264	2047293.1481185	499741.088154067	152339.057777261	173878.532141853	906106.502250955	690325.986551499	958028.493694209	212516.01723877
succinate	2	0	2271026.33845087	66554.2154856268	94543.7265149658	0	1375489.15917681	0	600070.761913627	0	0	4092437.61029354	0	0	262349.764833431	109710.606621814	159777.7838054	81598.9414539278	102423.497291985	9865.56885806515	243740.342149915	0	1065117.57455669	0	0	0	0	1434525.29719724	25785.1749732837	135768.434786392	92707.487192237	42722.7632224031	1090667.38018032	350924.50759324	0	3977316.74799383	938479.789913538	354395.467394545	71486.2914650945	68038.5543001773	404102.337372665	424182.404411138	403694.236041387	126251.348985808
succinate	3	0	64951.4309799925	480.713893964334	0	0	27693.7076845883	0	12163.5977867334	0	0	110429.742717174	0	0	27233.1893334248	628.924100539983	1526.75159226575	929.541514854746	2303.88679473457	0	1355.70631325047	0	14683.0123975987	0	0	0	0	25676.9448069589	4363.39645843229	4645.46287822141	2367.26037536851	0	23240.4533243388	3242.94513104725	0	196036.460797013	10515.7232524756	8203.6218306739	3830.98875607009	2050.31216508879	5354.90988321128	8520.95970143663	7309.98271955792	3288.35201654902
succinate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1948.08040556378	0	0	0	0	0	0	0	0
malate	0	146423.50477215	17758522.2483649	27912475.2472301	31188912.8473975	73496.9901762173	81283122.8985178	63688.1007504824	40806039.7239642	296568.929366242	111146.581270068	60776582.4522517	237271.357337538	176180.299911344	64603828.6548508	15752711.0050411	16914857.5538322	33932079.527736	23043812.3121733	4909428.25757241	29284701.8301005	190707.722322022	43659615.7974829	50094.1819664062	86065.0902239976	480939.266564314	121037.700048072	78322670.6455032	12685565.0636233	36893214.8607316	9241290.34105267	63119833.5006004	173359929.946747	57614837.13443	6595274.53669067	89406262.3392888	119455098.185647	60681466.2905058	21248369.1303847	30131108.4636216	41442060.8530445	70723610.8859348	74202437.9330852	63849858.3929207
